sample,fastq_1,fastq_2,strandedness
MSH2KO-1,fixed_fastqs/MSH2KO-1_R1_fixed.fastq.gz,fixed_fastqs/MSH2KO-1_R2_fixed.fastq.gz,auto
MSH2KO-2,fixed_fastqs/MSH2KO-2_R1_fixed.fastq.gz,fixed_fastqs/MSH2KO-2_R2_fixed.fastq.gz,auto
MSH2KO-3,fixed_fastqs/MSH2KO-3_R1_fixed.fastq.gz,fixed_fastqs/MSH2KO-3_R2_fixed.fastq.gz,auto
MSH2R4-1,fixed_fastqs/MSH2R4-1_R1_fixed.fastq.gz,fixed_fastqs/MSH2R4-1_R2_fixed.fastq.gz,auto
MSH2R4-2,fixed_fastqs/MSH2R4-2_R1_fixed.fastq.gz,fixed_fastqs/MSH2R4-2_R2_fixed.fastq.gz,auto
MSH2R4-3,fixed_fastqs/MSH2R4-3_R1_fixed.fastq.gz,fixed_fastqs/MSH2R4-3_R2_fixed.fastq.gz,auto

