"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"CD99",0.0624472812655668,0.272792057021351,0.607313722229313,0.113974310969428,"Not DE"
"HS3ST1",0.392405547124509,-0.338042992812702,0.565760240750379,-0.327737186790724,"Not DE"
"AOC1",NA,-1.10607685769562,NA,-0.814047889434527,"Not DE"
"WNT16",NA,NA,NA,3.37040008141253,"Not DE"
"HECW1",1.47997461613383e-17,3.41451024970841,0.993817280449559,-0.0158203734438574,"DE (up) in MLH1"
"MAD1L1",0.017777826920993,0.410133132969802,0.000717784028996154,0.478797190250338,"DE (up) in both"
"LASP1",0.770659231010001,-0.0241262492006751,0.0628826514585173,-0.194031519422976,"Not DE"
"SNX11",0.0691725563907011,-0.29876229169653,0.611719031569321,-0.142289967533783,"Not DE"
"TMEM176A",NA,-0.767138398253351,NA,NA,"Not DE"
"M6PR",0.900734136333162,0.0147234965287807,0.283793806726572,0.1470839665788,"Not DE"
"KLHL13",0.149727622852808,0.661587630407889,0.876203590874254,1.02804545721276,"Not DE"
"CYP26B1",9.84287516509486e-11,-1.21009585641584,0.358039262276004,-0.292796969127928,"DE (down) in MLH1"
"ICA1",0.461726895827222,-0.307422176468837,0.430339813773011,0.323231462760713,"Not DE"
"DBNDD1",0.0989914931642884,0.454206261018718,8.79024696795652e-06,1.09032354754594,"DE (up) in MSH2"
"ALS2",0.0183413982241064,0.225689203812201,0.48780196407451,-0.124129854067464,"DE (up) in MLH1"
"CASP10",0.00682292947040981,-0.699744600813371,0.92421664095116,-0.0695786385784888,"DE (down) in MLH1"
"CFLAR",0.710397366696828,-0.0570243750090963,0.349464450936143,0.137488665451609,"Not DE"
"TFPI",0.452044428430135,0.0990112631647774,0.612683523501621,-0.08318535743035,"Not DE"
"NDUFAF7",0.109124828448888,-0.413669436798076,0.957501502958239,-0.0415408586075989,"Not DE"
"RBM5",0.00870992931634672,0.234827064270472,0.976178855320995,-0.0139343398726633,"DE (up) in MLH1"
"MTMR7",0.0936994846652244,-1.00961806721229,0.0514074601393397,-0.762245852760056,"Not DE"
"SLC7A2",5.17865494271416e-27,-0.879904971349719,0.732773579873064,-0.0595053429157701,"DE (down) in MLH1"
"ARF5",0.871336199637959,-0.04030186379267,0.575151844747799,0.134028884787883,"Not DE"
"SARM1",0.573621148763343,0.325416693003407,0.15793258166142,-0.83983169528762,"Not DE"
"POLDIP2",0.370537957889576,-0.0833264024438764,0.977991157532167,0.00775320839293323,"Not DE"
"PLXND1",0.832876310137389,-0.0528496931474421,0.000378663832960674,-0.582529721929273,"DE (down) in MSH2"
"AK2",5.26803884163529e-07,-0.465676292347035,0.0291976971734692,0.261994825560193,"Not DE"
"CD38",0.761226916823721,-0.403954487888121,0.516595641635232,-1.05260113026203,"Not DE"
"FKBP4",7.27285873293702e-06,0.315738788770122,0.137494311435351,0.207339737487401,"DE (up) in MLH1"
"KDM1A",3.63095093163617e-21,-0.749623631668471,0.684949901835957,0.0838009502507322,"DE (down) in MLH1"
"RBM6",0.871419907846863,0.0268665789518017,0.822894727896912,-0.0799447677602837,"Not DE"
"CAMKK1",1.83037323542589e-09,-1.0568337278234,0.957501502958239,0.0273528688996643,"DE (down) in MLH1"
"RECQL",0.896078282286762,-0.0204586227024119,0.951217146112148,-0.0215882218220119,"Not DE"
"VPS50",0.250033906421158,0.169808509662369,0.950500019608831,-0.0351231466955336,"Not DE"
"HSPB6",0.630567572502241,1.30776154322157,NA,-0.553763947636073,"Not DE"
"ARHGAP33",1.95969873663505e-20,1.63100625524652,0.771958192415435,-0.489581587467125,"DE (up) in MLH1"
"NDUFAB1",0.932312634855528,0.0182931026038661,0.371533404533921,0.180005261172689,"Not DE"
"PDK4",0.00284565461089739,1.61783198759495,0.538532300463102,-0.673842446056934,"DE (up) in MLH1"
"SLC22A16",NA,0.753789316746842,NA,3.14923614614243,"Not DE"
"ZMYND10",0.955149902606436,-0.157943806031552,0.738325845644957,1.16263761376163,"Not DE"
"ABCB5",0.700225651919344,0.341860232099814,0.395053868234534,0.865556636160681,"Not DE"
"ARX",0.286810690440794,3.44238162756133,NA,1.85711642645614,"Not DE"
"SLC25A13",0.00470649452665008,0.305281061737586,0.0106013830765735,-0.343909904062637,"Not DE"
"ST7",0.928676945713025,0.0261735740107618,0.529736137822782,-0.162045511942126,"Not DE"
"CDC27",0.440397272833515,0.110475529327706,0.133278080519169,-0.201384663588917,"Not DE"
"SLC4A1",0.572116645593667,0.325147595905688,0.595450595946395,0.543282698655591,"Not DE"
"CALCR",0.773322843240795,-0.657142713288021,NA,-1.06457241809011,"Not DE"
"HCCS",0.666245472908872,-0.0859225450025048,0.402073268813034,-0.170298234235928,"Not DE"
"DVL2",0.131237556176017,0.177047580951529,0.912226832232038,-0.0310580064091378,"Not DE"
"PRSS22",NA,-1.87660192961174,NA,3.41965995990549,"Not DE"
"UPF1",0.182912775087331,0.125761636445112,0.368724738083856,0.122038880789035,"Not DE"
"SKAP2",2.63228070109099e-06,-0.61925026284317,0.226317557974177,-0.249915347212443,"DE (down) in MLH1"
"SLC25A5",0.714974585017487,0.0307972388694897,0.915924729332002,-0.0243565630447192,"Not DE"
"MCUB",0.174477813521978,0.191957756743142,0.0718419571556763,0.225530781039962,"Not DE"
"HOXA11",NA,-1.64070611844761,NA,-0.814047889434528,"Not DE"
"DHX33",4.7261908835079e-13,-0.549674826940158,0.736941945219625,0.0576906646846383,"DE (down) in MLH1"
"MEOX1",NA,2.49968472955035,NA,3.05220308420991,"Not DE"
"THSD7A",NA,NA,NA,-1.77802147183191,"Not DE"
"LIG3",0.129919570127258,-0.176159186217769,0.959017408938558,0.0203458461935359,"Not DE"
"RPAP3",0.934755504949052,-0.016082072746349,0.844345888384752,0.0581555931190441,"Not DE"
"ACSM3",0.468062003689007,0.722478054275605,0.511786683424047,-0.78730040187636,"Not DE"
"REXO5",0.000848004209959078,0.98593049718264,0.935337133063345,-0.0924433147942783,"DE (up) in MLH1"
"CIAPIN1",0.136621117198093,0.153890902426139,0.662249112926722,0.0866259637539742,"Not DE"
"SPPL2B",1.02453773251084e-09,0.73153609837689,0.953233275580201,0.0279936715755258,"DE (up) in MLH1"
"ATOSB",0.242059017200334,-0.178747370176107,3.72022842602646e-06,-0.720350960274733,"DE (down) in MSH2"
"COPZ2",0.851358905754916,-0.619669059991381,NA,-0.739530358806502,"Not DE"
"MSL3",0.00590705939956371,-0.377879604322423,0.576787379105616,0.145923199956082,"DE (down) in MLH1"
"CREBBP",0.0474456046327568,-0.204348421790891,0.215878038462121,-0.19177896781456,"DE (down) in MLH1"
"TSPOAP1",0.415923991681908,0.749619866480769,0.665210290468,0.84886693067939,"Not DE"
"MPO",NA,0.817476493946864,NA,1.42637473368784,"Not DE"
"PON1",NA,-4.45211270157077,0.0199237973704114,5.31280859091786,"Not DE"
"GCFC2",0.177533606590886,-0.170238166265647,0.320925992740711,0.210873572925357,"Not DE"
"WDR54",1.38919668183326e-08,-0.623217414081597,0.447069059138725,-0.158577680588689,"DE (down) in MLH1"
"CROT",0.0878748863403476,0.37918285500414,0.939483892639129,0.0493873274809761,"Not DE"
"ABCB4",NA,0.777626143348489,NA,1.10950546220796,"Not DE"
"KMT2E",0.0803253000117379,0.252100422033583,0.663240648993851,-0.126809980380948,"Not DE"
"RHBDD2",7.6579396129264e-06,0.96208141376555,0.941568952931346,0.0426314272074259,"DE (up) in MLH1"
"SOX8",NA,NA,NA,NA,"Not DE"
"ZNF195",1.91493859125875e-09,0.572456400857206,0.710001878914234,0.150349279489685,"DE (up) in MLH1"
"MYCBP2",0.616964128703009,-0.095318076329353,0.927365816235746,-0.0712330099161276,"Not DE"
"FBXL3",0.731057644735993,0.0434638034350051,0.185064888697114,-0.202347266590301,"Not DE"
"ITGAL",0.231150553003264,0.833050988747663,0.315125794620499,-1.22291683511464,"Not DE"
